"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"07-18-2024 23:00","1721343601","0.945","0.055","0.007"
"07-19-2024 00:00","1721347201","0.945","0.055","0.007"
"07-19-2024 01:00","1721350801","0.945","0.055","0.007"
"07-19-2024 02:00","1721354401","0.945","0.055","0.007"
"07-19-2024 03:00","1721358001","0.945","0.055","0.007"
"07-19-2024 04:00","1721361601","0.945","0.055","0.007"
"07-19-2024 05:00","1721365201","0.945","0.055","0.007"
"07-19-2024 06:00","1721368801","0.945","0.055","0.007"
"07-19-2024 07:00","1721372401","0.945","0.055","0.007"
"07-19-2024 08:00","1721376002","0.945","0.055","0.007"
"07-19-2024 09:00","1721379601","0.945","0.055","0.007"
"07-19-2024 10:00","1721383201","0.945","0.055","0.007"
"07-19-2024 11:00","1721386801","0.945","0.055","0.007"
"07-19-2024 12:00","1721390401","0.945","0.055","0.007"
"07-19-2024 13:00","1721394001","0.945","0.055","0.007"
"07-19-2024 14:00","1721397601","0.945","0.055","0.007"
"07-19-2024 15:00","1721401201","0.945","0.055","0.007"
"07-19-2024 16:00","1721404801","0.945","0.055","0.007"
"07-19-2024 17:00","1721408401","0.945","0.055","0.007"
"07-19-2024 18:00","1721412001","0.945","0.055","0.007"
"07-19-2024 19:00","1721415601","0.945","0.055","0.007"
"07-19-2024 20:00","1721419201","0.945","0.055","0.007"
"07-19-2024 21:00","1721422801","0.945","0.055","0.007"
"07-19-2024 22:00","1721426401","0.945","0.055","0.007"
"07-19-2024 23:00","1721430001","0.945","0.055","0.007"
"07-20-2024 00:00","1721433601","0.945","0.055","0.007"
"07-20-2024 01:00","1721437201","0.945","0.055","0.007"
"07-20-2024 02:00","1721440801","0.945","0.055","0.007"
"07-20-2024 03:00","1721444401","0.945","0.055","0.007"
"07-20-2024 04:00","1721448001","0.945","0.055","0.007"
"07-20-2024 05:00","1721451601","0.945","0.055","0.007"
"07-20-2024 06:00","1721455201","0.945","0.055","0.007"
"07-20-2024 07:00","1721458801","0.945","0.055","0.007"
"07-20-2024 08:00","1721462401","0.945","0.055","0.007"
"07-20-2024 09:00","1721466001","0.945","0.055","0.007"
"07-20-2024 10:00","1721469601","0.945","0.055","0.007"
"07-20-2024 11:00","1721473201","0.945","0.055","0.007"
"07-20-2024 12:00","1721476801","0.945","0.055","0.007"
"07-20-2024 13:00","1721480401","0.945","0.055","0.007"
"07-20-2024 14:00","1721484001","0.945","0.055","0.007"
"07-20-2024 15:00","1721487601","0.945","0.055","0.007"
"07-20-2024 16:00","1721491201","0.945","0.055","0.007"
"07-20-2024 17:00","1721494801","0.945","0.055","0.007"
"07-20-2024 18:00","1721498401","0.945","0.055","0.007"
"07-20-2024 19:00","1721502001","0.945","0.055","0.007"
"07-20-2024 20:00","1721505601","0.945","0.055","0.007"
"07-20-2024 21:00","1721509201","0.945","0.055","0.007"
"07-20-2024 22:00","1721512801","0.945","0.055","0.007"
"07-20-2024 23:00","1721516401","0.945","0.055","0.007"
"07-21-2024 00:00","1721520001","0.945","0.055","0.007"
"07-21-2024 01:00","1721523601","0.945","0.055","0.007"
"07-21-2024 02:00","1721527201","0.945","0.055","0.007"
"07-21-2024 03:00","1721530801","0.945","0.055","0.007"
"07-21-2024 04:00","1721534401","0.945","0.055","0.007"
"07-21-2024 05:00","1721538001","0.945","0.055","0.007"
"07-21-2024 06:00","1721541601","0.945","0.055","0.007"
"07-21-2024 07:00","1721545201","0.945","0.055","0.007"
"07-21-2024 08:00","1721548801","0.945","0.055","0.007"
"07-21-2024 09:00","1721552401","0.945","0.055","0.007"
"07-21-2024 10:00","1721556001","0.945","0.055","0.007"
"07-21-2024 11:00","1721559601","0.945","0.055","0.007"
"07-21-2024 12:00","1721563201","0.945","0.055","0.007"
"07-21-2024 13:00","1721566801","0.945","0.055","0.007"
"07-21-2024 14:00","1721570401","0.945","0.055","0.007"
"07-21-2024 15:00","1721574001","0.945","0.055","0.007"
"07-21-2024 16:00","1721577601","0.945","0.055","0.007"
"07-21-2024 17:00","1721581201","0.945","0.055","0.007"
"07-21-2024 19:00","1721588401","0.945","0.055","0.007"
"07-21-2024 20:00","1721592001","0.945","0.055","0.007"
"07-21-2024 21:00","1721595601","0.945","0.055","0.007"
"07-21-2024 22:00","1721599201","0.945","0.055","0.007"
"07-21-2024 23:00","1721602801","0.945","0.055","0.007"
"07-22-2024 00:00","1721606401","0.945","0.055","0.007"
"07-22-2024 01:00","1721610001","0.945","0.055","0.007"
"07-22-2024 02:00","1721613601","0.945","0.055","0.007"
"07-22-2024 03:00","1721617201","0.945","0.055","0.007"
"07-22-2024 04:00","1721620802","0.945","0.055","0.007"
"07-22-2024 05:00","1721624401","0.945","0.055","0.007"
"07-22-2024 06:00","1721628001","0.945","0.055","0.007"
"07-22-2024 07:00","1721631601","0.945","0.055","0.007"
"07-22-2024 08:00","1721635201","0.945","0.055","0.007"
"07-22-2024 09:00","1721638801","0.945","0.055","0.007"
"07-22-2024 10:00","1721642401","0.945","0.055","0.007"
"07-22-2024 11:00","1721646001","0.945","0.055","0.007"
